public_entity_id;official_name;official_name_norm;source_system;source_code;is_public_entity;is_public_service_strict;public_entity_type;chilecompra_reference_match;datos_gob_reference_match;dipres_reference_match;rut;entity_id;sii_legal_name;sii_match_method;sii_match_confidence;source_url;source_api_url;strict_reference_url
PUB-CL-8896538CAB048BBDEDAB;Armada de Chile;ARMADA DE CHILE;DATOS_GOB_INSTITUTIONS;DATOS_GOB:armada_de_chile;true;true;DEFENCE_OR_PUBLIC_SECURITY;false;true;true;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-2A69D17EE6ED592D2A12;Carabineros de Chile;CARABINEROS DE CHILE;DATOS_GOB_INSTITUTIONS;DATOS_GOB:carabineros_de_chile;true;true;DEFENCE_OR_PUBLIC_SECURITY;false;true;true;60505752-7;ENT-RUT-60505752-7;CARABINEROS DE CHILE;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-157BA21D67549A8F9FCB;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:111875;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;false;false;61102004-K;ENT-RUT-61102004-K;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-0DD81DE5C44209CECC3A;DIRECCION DE LOGISTICA DE CARABINEROS;DIRECCION DE LOGISTICA DE CARABINEROS;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:113812;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;false;false;61938500-4;ENT-RUT-61938500-4;DIRECCION DE LOGISTICA DE CARABINEROS;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-7A57F7293834FD99FEEB;DIRECCION GENERAL DE GENDARMERIA DE CHIL;DIRECCION GENERAL DE GENDARMERIA DE CHIL;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6925;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;false;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-A57DC569027C250523D6;DIRECCION PREVISION DE CARABINEROS DE CHILE;DIRECCION PREVISION DE CARABINEROS DE CHILE;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6927;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;false;false;61513000-1;ENT-RUT-61513000-1;DIRECCION PREVISION DE CARABINEROS DE CHILE;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-C06C8C02D59FAFFE9A4D;DIVISION LOGISTICA DEL EJERCITO;DIVISION LOGISTICA DEL EJERCITO;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:111870;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;false;false;61101078-8;ENT-RUT-61101078-8;DIVISION LOGISTICA DEL EJERCITO;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-5BF8D35CD0948B304C83;Dirección de Previsión de Carabineros de Chile;DIRECCION DE PREVISION DE CARABINEROS DE CHILE;DATOS_GOB_INSTITUTIONS;DATOS_GOB:direccion_de_prevision_de_carabineros_de_chile;true;false;DEFENCE_OR_PUBLIC_SECURITY;false;true;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-32F4B89D268490CE29FD;Ejército de Chile;EJERCITO DE CHILE;DATOS_GOB_INSTITUTIONS;DATOS_GOB:ejercito-de-chile;true;false;DEFENCE_OR_PUBLIC_SECURITY;false;true;false;;;;NO_RUT_MATCH;UNMATCHED;https://datos.gob.cl/organization/;https://datos.gob.cl/api/3/action/organization_list?all_fields=true;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
PUB-CL-C76683F4C9B96D85E47C;FUERZA AEREA DE CHILE COMANDO LOGISTICO;FUERZA AEREA DE CHILE COMANDO LOGISTICO;CHILECOMPRA_MERCADO_PUBLICO;CHILECOMPRA:6946;true;false;DEFENCE_OR_PUBLIC_SECURITY;true;false;false;61103035-5;ENT-RUT-61103035-5;FUERZA AEREA DE CHILE COMANDO LOGISTICO;EXACT_NORMALIZED_NAME_UNIQUE;HIGH;https://datos-abiertos.chilecompra.cl/organismos-compradores;https://api.mercadopublico.cl/servicios/v1/Publico/Empresas/BuscarComprador?ticket=F8537A18-6766-4DEF-9E59-426B4FEE2844;https://www.dipres.gob.cl/597/w3-multipropertyvalues-15145-37782.html
