uaf_sector_id;uaf_sector;sii_acteco;sii_glosa;tipo_equivalencia;confianza;uso_radar;fuente_complementaria_sugerida
1;Administradoras de Fondos de Inversión;663091;ADMINISTRADORAS DE FONDOS DE INVERSIÓN;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
2;Administradoras de Fondos de Pensiones;663010;ADMINISTRADORAS DE FONDOS DE PENSIONES (AFP);DIRECTA;ALTA;MATCH_FUERTE;Superintendencia de Pensiones/UAF
3;Administradoras de Fondos Mutuos;663092;ADMINISTRADORAS DE FONDOS MUTUOS;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
4;Administradoras de Mutuos Hipotecarios;649209;OTRAS ACTIVIDADES DE CONCESIÓN DE CRÉDITO N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
5;Administradoras Generales de Fondos;663099;ADMINISTRADORAS DE FONDOS PARA OTROS FINES N.C.P.;PARCIAL;MEDIA;CANDIDATO;CMF/UAF
6;Agentes de Aduana;522910;AGENCIAS DE ADUANAS;DIRECTA;ALTA;MATCH_FUERTE;Servicio Nacional de Aduanas/UAF
7;Agentes de Valores;661203;AGENTES DE VALORES;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
8;Armas: Personas que se Dediquen a la Fabricación de Armas;252000;FABRICACIÓN DE ARMAS Y MUNICIONES;DIRECTA;ALTA;MATCH_FUERTE;DGMN/UAF
9;Armas: Personas que se Dediquen a la Venta de Armas;477392;VENTA AL POR MENOR DE ARMAS Y MUNICIONES EN COMERCIOS ESPECIALIZADOS;DIRECTA;ALTA;MATCH_FUERTE;DGMN/UAF
10;Bancos;641910;ACTIVIDADES BANCARIAS;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
11;Bolsas de Productos;661100;ADMINISTRACIÓN DE MERCADOS FINANCIEROS;PARCIAL;MEDIA;CANDIDATO;CMF/UAF
12;Bolsas de Valores;661100;ADMINISTRACIÓN DE MERCADOS FINANCIEROS;PARCIAL;ALTA;MATCH_FUERTE;CMF/UAF
13;Cajas de Compensación;649203;CAJAS DE COMPENSACIÓN;DIRECTA;ALTA;MATCH_FUERTE;SUSESO/UAF
14;Casas de Cambio;661204;ACTIVIDADES DE CASAS DE CAMBIO Y OPERADORES DE DIVISA;DIRECTA;ALTA;MATCH_FUERTE;BCCh/UAF
15;Casas de Remate y Martillo;461009;OTROS TIPOS DE CORRETAJES O REMATES AL POR MAYOR N.C.P.;PARCIAL;MEDIA;CANDIDATO;UAF/registro comercial
16;Casinos de Juego;920010;ACTIVIDADES DE CASINOS DE JUEGOS;DIRECTA;ALTA;MATCH_FUERTE;Superintendencia de Casinos de Juego/UAF
17;Casinos Flotantes de Juego;920010;ACTIVIDADES DE CASINOS DE JUEGOS;PARCIAL;MEDIA;CANDIDATO;Superintendencia de Casinos de Juego/UAF
18;Clubes de Caza;931209;ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;DGMN/UAF
19;Clubes de Pesca;931209;ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;Autoridad sectorial/UAF
20;Clubes de Tiro;931209;ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;DGMN/UAF
21;Comerciantes de Joyas y Piedras Preciosas;477394;VENTA AL POR MENOR DE ARTÍCULOS DE JOYERÍA, BISUTERÍA Y RELOJERÍA EN COMERCIOS ESPECIALIZADOS;PARCIAL;ALTA;MATCH_FUERTE;UAF/registro comercial
21;Comerciantes de Joyas y Piedras Preciosas;464909;VENTA AL POR MAYOR DE OTROS ENSERES DOMÉSTICOS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;UAF/registro comercial
22;Comerciantes de Metales Preciosos;466200;VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS;AMPLIA;MEDIA;CANDIDATO;UAF/registro comercial
23;Compañías de Seguros;651100;SEGUROS DE VIDA;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
23;Compañías de Seguros;651210;SEGUROS GENERALES, EXCEPTO ACTIVIDADES DE ISAPRES;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
24;Conservadores;691003;CONSERVADOR DE BIENES RAÍCES;DIRECTA;ALTA;MATCH_FUERTE;Poder Judicial/UAF
25;Cooperativas de Ahorro y Crédito;641990;OTROS TIPOS DE INTERMEDIACIÓN MONETARIA N.C.P.;PARCIAL;MEDIA;CANDIDATO;CMF/DAES/UAF
25;Cooperativas de Ahorro y Crédito;649201;FINANCIERAS;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/DAES/UAF
26;Corredores de Bolsas de Productos;661209;OTROS SERVICIOS DE CORRETAJE DE VALORES Y COMMODITIES N.C.P.;PARCIAL;ALTA;MATCH_FUERTE;CMF/UAF
27;Corredores de Bolsas de Valores;661202;CORREDORES DE BOLSA;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
28;Corredores de Propiedades;682000;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;PARCIAL;ALTA;MATCH_FUERTE;UAF/registro comercial
29;Emisoras u Operadoras de Tarjetas de Crédito, Tarjetas de Pago con provisión de fondos, o cualquier otro sistema similar a los referidos medios de pago;661902;ADMINISTRACIÓN DE TARJETAS DE CRÉDITO;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
29;Emisoras u Operadoras de Tarjetas de Crédito, Tarjetas de Pago con provisión de fondos, o cualquier otro sistema similar a los referidos medios de pago;649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
30;Empresas de Arrendamiento Financiero (Leasing);649100;LEASING FINANCIERO;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
31;Empresas de Depósitos de Valores regidas por Ley 18.876;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
32;Empresas de Factoraje (Factoring);649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.;PARCIAL;MEDIA;CANDIDATO;UAF/CMF/registro comercial
32;Empresas de Factoraje (Factoring);649201;FINANCIERAS;AMPLIA;BAJA;SOLO_PRESELECCION;UAF/CMF/registro comercial
33;Empresas de Securitización;661201;ACTIVIDADES DE SECURITIZADORAS;DIRECTA;ALTA;MATCH_FUERTE;CMF/UAF
34;Empresas de Transferencia de Dinero;649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.;PARCIAL;MEDIA;CANDIDATO;CMF/UAF
34;Empresas de Transferencia de Dinero;661204;ACTIVIDADES DE CASAS DE CAMBIO Y OPERADORES DE DIVISA;PARCIAL;MEDIA;CANDIDATO;BCCh/UAF
35;Empresas de Transporte de Valores;801002;SERVICIO DE TRANSPORTE DE VALORES EN VEHÍCULOS BLINDADOS;DIRECTA;ALTA;MATCH_FUERTE;Autoridad de seguridad/UAF
36;Empresas Dedicadas a la Gestión Inmobiliaria;681012;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES;PARCIAL;MEDIA;CANDIDATO;UAF/registro comercial
36;Empresas Dedicadas a la Gestión Inmobiliaria;682000;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;PARCIAL;ALTA;MATCH_FUERTE;UAF/registro comercial
37;Fintec: Custodia de Instrumentos Financieros;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
38;Fintec: Intermediación de Instrumentos Financieros;661209;OTROS SERVICIOS DE CORRETAJE DE VALORES Y COMMODITIES N.C.P.;PARCIAL;MEDIA;CANDIDATO;CMF/UAF
39;Fintec: Plataforma de Financiamiento Colectivo;649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
39;Fintec: Plataforma de Financiamiento Colectivo;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
40;Fintec: Sistemas Alternativos de Transacción;661100;ADMINISTRACIÓN DE MERCADOS FINANCIEROS;PARCIAL;MEDIA;CANDIDATO;CMF/UAF
40;Fintec: Sistemas Alternativos de Transacción;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
41;Fintec: Proveedores de Iniciación de Pagos;649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
41;Fintec: Proveedores de Iniciación de Pagos;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
42;Fintec: Otros fiscalizados por CMF;;;SIN_ACTECO_DIRECTO;BAJA;REQUIERE_REGISTRO_EXTERNO;CMF/UAF
43;Hipódromos;931101;HIPÓDROMOS;DIRECTA;ALTA;MATCH_FUERTE;UAF/autoridad hípica
44;Instituciones Financieras;641990;OTROS TIPOS DE INTERMEDIACIÓN MONETARIA N.C.P.;AMPLIA;MEDIA;CANDIDATO;CMF/UAF
44;Instituciones Financieras;649201;FINANCIERAS;AMPLIA;MEDIA;CANDIDATO;CMF/UAF
44;Instituciones Financieras;649202;ACTIVIDADES DE CRÉDITO PRENDARIO;AMPLIA;MEDIA;CANDIDATO;CMF/UAF
44;Instituciones Financieras;649209;OTRAS ACTIVIDADES DE CONCESIÓN DE CRÉDITO N.C.P.;AMPLIA;MEDIA;CANDIDATO;CMF/UAF
44;Instituciones Financieras;649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.;AMPLIA;BAJA;SOLO_PRESELECCION;CMF/UAF
45;Notarios;691002;SERVICIO NOTARIAL;DIRECTA;ALTA;MATCH_FUERTE;Poder Judicial/UAF
