uaf_sector;uaf_ruts_total;uaf_ruts_match_sii_pj;uaf_match_rate_sii_pj;sii_acteco;sii_glosa;support_uaf_sector;coverage_sector;coverage_wilson_low;uaf_code_purity;lift_vs_uaf;sii_ruts_with_code;uaf_registered_any_with_code;registered_rate_any_uaf;registered_rate_target_sector;universe_sii_not_uaf_with_code;manual_sector_prior;manual_sector_similarity;manual_code_prior;empirical_role;confidence;false_positive_risk;empirical_score;rank_sector
Administradoras de Mutuos Hipotecarios;14;14;1.0;649209;OTRAS ACTIVIDADES DE CONCESION DE CREDITO N.C.P.;1;0.071429;0.012722;0.02;10.3186;279;50;0.179211;0.003584;229;Administradoras de Mutuos Hipotecarios;1.0;SI;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;40.87;1
Administradoras de Mutuos Hipotecarios;14;14;1.0;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;7;0.5;0.267989;0.02682;13.8372;3592;261;0.072661;0.001949;3331;Administradoras de Mutuos Hipotecarios;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;32.46;2
Administradoras de Mutuos Hipotecarios;14;14;1.0;643000;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;8;0.571429;0.325903;0.008602;4.4381;104494;930;0.0089;7.7e-05;103564;Administradoras de Mutuos Hipotecarios;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;28.92;3
Administradoras de Mutuos Hipotecarios;14;14;1.0;641990;OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.;3;0.214286;0.075712;0.015464;7.9783;1146;194;0.169284;0.002618;952;Administradoras de Mutuos Hipotecarios;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;MEDIO;21.95;5
Administradoras de fondos de inversión;168;163;0.970238;663091;ADMINISTRADORAS DE FONDOS DE INVERSION;149;0.91411;0.861001;0.712919;31.5915;2028;209;0.103057;0.073471;1819;Administradoras de Fondos de Inversión;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;MEDIO;89.44;1
Administradoras de fondos de inversión;168;163;0.970238;643000;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;61;0.374233;0.303641;0.065591;2.9065;104494;930;0.0089;0.000584;103564;Administradoras de Fondos de Inversión;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;26.01;2
Administradoras de fondos de inversión;168;163;0.970238;663099;ADMINISTRADORAS DE FONDOS PARA OTROS FINES N.C.P.;6;0.03681;0.016977;0.285714;12.6608;330;21;0.063636;0.018182;309;Administradoras de Fondos de Inversión;1.0;NO;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;25.05;3
Administradoras de fondos de inversión;168;163;0.970238;661903;EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA, SOCIEDADES DE APOYO AL GIRO;25;0.153374;0.106096;0.096525;4.2773;29964;259;0.008644;0.000834;29705;Administradoras de Fondos de Inversión;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;20.1;6
Administradoras de fondos de inversión;168;163;0.970238;702000;ACTIVIDADES DE CONSULTORIA DE GESTION;24;0.147239;0.100983;0.041237;1.8273;114467;582;0.005084;0.00021;113885;Administradoras de Fondos de Inversión;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;13.83;8
Administradoras generales de fondos;57;56;0.982456;663091;ADMINISTRADORAS DE FONDOS DE INVERSION;50;0.892857;0.785313;0.239234;30.857;2028;209;0.103057;0.024655;1819;Administradoras Generales de Fondos;1.0;NO;GATILLANTE_EMPIRICO_ALTO;ALTA;MEDIO;58.93;1
